"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Publisher","Document Type","Publication Stage","Open Access","Source","EID"
"Clark, T.M.","Clark, Thomas M. (7403217022)","7403217022","Scoping Review and Meta-Analysis Suggests that Cannabis Use May Reduce Cancer Risk in the United States","2021","Cannabis and Cannabinoid Research","6","5","","413","434","9","10.1089/can.2019.0095","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117812236&doi=10.1089%2Fcan.2019.0095&partnerID=40&md5=0e0a8d148e9b4ab24896d9a8f8fb2de7","Mary Ann Liebert Inc.","Review","Final","All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85117812236"
"Dogan, J.N.; Thrasher, S.; Thorpe, S.Y.; Hargons, C.; Stevens-Watkins, D.","Dogan, Jardin N. (57205546520); Thrasher, Shawndaya S. (57193028373); Thorpe, Shemeka Y. (57204356860); Hargons, Candice Nicole (57194832859); Stevens-Watkins, Danelle J. (35747417100)","57205546520; 57193028373; 57204356860; 57194832859; 35747417100","Cultural race-related stress and cannabis use among incarcerated African American men.","2021","Psychology of Addictive Behaviors","35","3","","320","325","15","10.1037/adb0000694","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105894083&doi=10.1037%2Fadb0000694&partnerID=40&md5=d233360b36d9b14b3a38567f73e41437","Educational Publishing Foundation","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85105894083"
"Xue, S.; Husain, M.I.; Zhao, H.; Ravindran, A.V.","Xue, Siqi (57037815400); Husain, Muhammad Ishrat (54401358500); Zhao, Haoyu (57218880624); Ravindran, Arun V. (7005539422)","57037815400; 54401358500; 57218880624; 7005539422","Cannabis Use and Prospective Long-Term Association with Anxiety: A Systematic Review and Meta-Analysis of Longitudinal Studies; Usage du cannabis et association prospective à long terme avec l’anxiété: une revue systématique et une méta-analyse d’études longitudinales","2021","Canadian Journal of Psychiatry","66","2","","126","138","35","10.1177/0706743720952251","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090601961&doi=10.1177%2F0706743720952251&partnerID=40&md5=ed0522546d447312cc2ab9546fc2d5f1","SAGE Publications Inc.","Review","Final","All Open Access; Bronze Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85090601961"
"Kiburi, S.K.; Molebatsi, K.; Ntlantsana, V.; Lynskey, M.T.","Kiburi, Sarah Kanana (57202587684); Molebatsi, Keneilwe (57195515906); Ntlantsana, Vuyokazi (57203163484); Lynskey, Michael (7004900664)","57202587684; 57195515906; 57203163484; 7004900664","Cannabis use in adolescence and risk of psychosis: Are there factors that moderate this relationship? A systematic review and meta-analysis","2021","Substance Abuse","42","4","","527","542","74","10.1080/08897077.2021.1876200","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101289543&doi=10.1080%2F08897077.2021.1876200&partnerID=40&md5=f6fbf7254dca7182aa9fa11a29c0f4a5","Routledge","Review","Final","","Scopus","2-s2.0-85101289543"
"Simon, K.M.; Harris, S.K.; Shrier, L.A.; Bukstein, O.G.","Simon, Kevin M. (57218369681); Harris, Sion Kim Im (7403485474); Shrier, Lydia A. (6701430976); Bukstein, Oscar Gary (7003524280)","57218369681; 7403485474; 6701430976; 7003524280","Measurement-Based Care in the Treatment of Adolescents with Substance Use Disorders","2020","Child and Adolescent Psychiatric Clinics of North America","29","4","","675","690","8","10.1016/j.chc.2020.06.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089003900&doi=10.1016%2Fj.chc.2020.06.006&partnerID=40&md5=2c84c6f63569b8fdbb64c838d4cfb969","W.B. Saunders","Review","Final","","Scopus","2-s2.0-85089003900"
"Girgis, J.; Pringsheim, T.; Williams, J.; Shafiq, S.; Patten, S.","Girgis, Joseph (57215193594); Pringsheim, Tamara M. (6602398621); Williams, Jeanne V.A. (7409584357); Shafiq, Samreen (57213460636); Patten, Scott B. (57201492915)","57215193594; 6602398621; 7409584357; 57213460636; 57201492915","Cannabis Use and Internalizing/Externalizing Symptoms in Youth: A Canadian Population-Based Study","2020","Journal of Adolescent Health","67","1","","26","32","13","10.1016/j.jadohealth.2020.01.015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080064359&doi=10.1016%2Fj.jadohealth.2020.01.015&partnerID=40&md5=309de8a27203a669297a536c4c240c8b","Elsevier USA","Article","Final","","Scopus","2-s2.0-85080064359"
"Lynn, R.S.R.; Galinkin, J.L.","Lynn, Rachael Rzasa (56116214400); Galinkin, Jeffrey L. (6701642656)","56116214400; 6701642656","Cannabis, e-cigarettes and anesthesia","2020","Current Opinion in Anaesthesiology","33","3","","318","326","19","10.1097/ACO.0000000000000872","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084721200&doi=10.1097%2FACO.0000000000000872&partnerID=40&md5=7a63a043ee23c68ef044c9f2f04e6e0d","Lippincott Williams and Wilkins","Review","Final","","Scopus","2-s2.0-85084721200"
"Meier, M.H.; Beardslee, J.; Pardini, D.","Meier, Madeline H. (16068882500); Beardslee, Jordan (55958958300); Pardini, Dustin A. (6603376882)","16068882500; 55958958300; 6603376882","Associations between Recent and Cumulative Cannabis Use and Internalizing Problems in Boys from Adolescence to Young Adulthood","2020","Journal of Abnormal Child Psychology","48","6","","771","782","20","10.1007/s10802-020-00641-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083226022&doi=10.1007%2Fs10802-020-00641-8&partnerID=40&md5=3f1c93807c8d3d11a8ab02d2173485b0","Springer","Article","Final","","Scopus","2-s2.0-85083226022"
"Hawes, S.W.; Pacheco-Coloń, I.; Megan Ross, J.; Gonzalez, R.","Hawes, Samuel W. (24830096500); Pacheco-Coloń, Ileana (56173116000); Megan Ross, J. (56192493300); Gonzalez, Raul (35388125200)","24830096500; 56173116000; 56192493300; 35388125200","Adolescent Cannabis Use and Conduct Problems: the Mediating Influence of Callous-Unemotional Traits","2020","International Journal of Mental Health and Addiction","18","3","","613","627","11","10.1007/s11469-018-9958-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049777588&doi=10.1007%2Fs11469-018-9958-9&partnerID=40&md5=cb58eb7a83a3d7d6852be4678fed12f5","Springer","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85049777588"
"Ames, M.E.; Leadbeater, B.J.; Merrin, G.J.; Thompson, K.","Ames, Megan E. (37015352000); Leadbeater, Bonnie J.Ross (7004262820); Merrin, Gabriel J. (56469374800); Thompson, Kara D. (53985523600)","37015352000; 7004262820; 56469374800; 53985523600","Patterns of marijuana use and physical health indicators among Canadian youth","2020","International Journal of Psychology","55","1","","1","12","19","10.1002/ijop.12549","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058035170&doi=10.1002%2Fijop.12549&partnerID=40&md5=ebf952476264e572b634cdec5642e9ba","Wiley-Blackwell Publishing Ltd info@royensoc.co.uk","Article","Final","All Open Access; Green Final Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85058035170"
"Botsford, S.L.; Yang, S.; George, T.P.","Botsford, Sabrina L. (57211442947); Yang, Sharon (57221674780); George, Tony Peter (26643186100)","57211442947; 57221674780; 26643186100","Cannabis and Cannabinoids in Mood and Anxiety Disorders: Impact on Illness Onset and Course, and Assessment of Therapeutic Potential","2020","American Journal on Addictions","29","1","","9","26","63","10.1111/ajad.12963","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073985205&doi=10.1111%2Fajad.12963&partnerID=40&md5=73be41be44ac363dfd8784ebcb3946ba","Wiley Blackwell info@wiley.com","Review","Final","All Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85073985205"
"Keatley, D.A.; Walters, I.; Parke, A.; Joyce, T.; D Clarke, D.","Keatley, David A. (28767858600); Walters, Isobel (57209463637); Parke, Adrian J. (7004335358); Joyce, Tara (57209464197); D Clarke, David (57209466433)","28767858600; 57209463637; 7004335358; 57209464197; 57209466433","Mapping the pathways between recreational cannabis use and mood disorders: A Behaviour Sequence Analysis approach","2020","Health Promotion Journal of Australia","31","1","","38","46","5","10.1002/hpja.261","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067894391&doi=10.1002%2Fhpja.261&partnerID=40&md5=cc04832ff77df960a619d329b715b597","John Wiley and Sons Inc. cs-journals@wiley.com","Article","Final","All Open Access; Green Final Open Access; Green Open Access","Scopus","2-s2.0-85067894391"
"Grigorian, A.; Lester, E.; Lekawa, M.; Figueroa, C.; Kuza, C.M.; Dolich, M.; Schubl, S.D.; Barrios, C.; Nahmias, J.","Grigorian, Areg (56919377200); Lester, E. Louise Walsh (56067878100); Lekawa, Michael E. (6506915376); Figueroa, Cesar J. (56735779900); Kuza, Catherine M. (57196278275); Dolich, Matthew O. (6603244422); Schubl, Sebastian D. (57112742600); Barrios, Cristobal (24066604000); Nahmias, Jeffry T. (36934649300)","56919377200; 56067878100; 6506915376; 56735779900; 57196278275; 6603244422; 57112742600; 24066604000; 36934649300","Marijuana use and outcomes in adult and pediatric trauma patients after legalization in California","2019","American Journal of Surgery","218","6","","1189","1194","22","10.1016/j.amjsurg.2019.08.020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071979591&doi=10.1016%2Fj.amjsurg.2019.08.020&partnerID=40&md5=213713b10bda35042be613aad7039bca","Elsevier Inc. usjcs@elsevier.com","Conference paper","Final","","Scopus","2-s2.0-85071979591"
"Winhusen, T.; Theobald, J.; Kaelber, D.C.; Lewis, D.","Winhusen, T. John (6507160732); Theobald, Jeff (55795260300); Kaelber, David C. (6507392985); Lewis, Daniel F. (35322294600)","6507160732; 55795260300; 6507392985; 35322294600","Regular cannabis use, with and without tobacco co-use, is associated with respiratory disease","2019","Drug and Alcohol Dependence","204","","107557","","","61","10.1016/j.drugalcdep.2019.107557","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072386411&doi=10.1016%2Fj.drugalcdep.2019.107557&partnerID=40&md5=1aaec10f487f11a67b76b04a7dc3df2c","Elsevier Ireland Ltd","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85072386411"
"Kelly, B.C.; Vuolo, M.","Kelly, Brian C. (9735023200); Vuolo, Mike C. (16032515700)","9735023200; 16032515700","Cognitive aptitude, peers, and trajectories of marijuana use from adolescence through young adulthood","2019","PLOS ONE","14","10","e0223152","","","6","10.1371/journal.pone.0223152","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074140307&doi=10.1371%2Fjournal.pone.0223152&partnerID=40&md5=cd520fdc6310e0313ca20600993e7e7e","Public Library of Science","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85074140307"
"Toteng, K.M.A.; Amone-P’Olak, K.","Toteng, Kooneeng Maboo Angela (57218272453); Amone-P’Olak, Kennedy (23007391400)","57218272453; 23007391400","Family background and socio-demographic correlates of cannabis use: A cross-sectional survey of university students in Botswana","2019","African Journal of Drug and Alcohol Studies","18","1","","55","67","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088506130&partnerID=40&md5=30338b8058fa862f857507febfdebf61","African Center for Research and Information on Substance Abuse","Article","Final","","Scopus","2-s2.0-85088506130"
"Hosseini, S.; Oremus, M.","Hosseini, Shera (57191073081); Oremus, Mark (6601946833)","57191073081; 6601946833","The Effect of Age of Initiation of Cannabis Use on Psychosis, Depression, and Anxiety among Youth under 25 Years; Effet de l’âge du début de l’utilisation du cannabis sur la psychose, la dépression et l’anxiété chez les jeunes de moins de 25 ans","2019","Canadian Journal of Psychiatry","64","5","","304","312","52","10.1177/0706743718809339","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060217036&doi=10.1177%2F0706743718809339&partnerID=40&md5=ce65d20415a32223d19664e9eab6172b","SAGE Publications Inc. claims@sagepub.com","Review","Final","All Open Access; Bronze Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85060217036"
"Hawes, S.W.; Trucco, E.M.; Duperrouzel, J.C.; Coxe, S.; Gonzalez, R.","Hawes, Samuel W. (24830096500); Trucco, Elisa Maria (22735719900); Duperrouzel, Jacqueline C. (57189664281); Coxe, Stefany J. (26029077900); Gonzalez, Raul (35388125200)","24830096500; 22735719900; 57189664281; 26029077900; 35388125200","Developmental pathways of adolescent cannabis use: Risk factors, outcomes and sex-specific differences","2019","Substance Use and Misuse","54","2","","271","281","30","10.1080/10826084.2018.1517177","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056101345&doi=10.1080%2F10826084.2018.1517177&partnerID=40&md5=684d0528d7e19f2ecdef3e0f863ba69b","Taylor and Francis Ltd","Article","Final","","Scopus","2-s2.0-85056101345"
"Yaacob, S.N.; Fam, F.J.; Hasbullah, M.; Arshat, Z.; Juhari, R.","Yaacob, Siti Nor Or (35093397500); Fam, Jia Yuin (57195405788); Hasbullah, Muslihah (55918725100); Arshat, Zarinah (23033163900); Juhari, Rumaya Bte (13409001400)","35093397500; 57195405788; 55918725100; 23033163900; 13409001400","Negative life events and mental health problem: The importance of coping strategy","2019","Pertanika Journal of Social Sciences and Humanities","27","S1","","77","87","10","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077934739&partnerID=40&md5=37eb9db92ed2d06b2f30ec2d0fa6cb8c","Universiti Putra Malaysia son@upm.edu.my","Article","Final","","Scopus","2-s2.0-85077934739"
"Boubeta, A.; Burkhart, G.; Isorna-Folgar, M.; Barreiro, C.; Varela Mallou, J.; Golpe, S.","Boubeta, Antonio Rial (57478891100); Burkhart, Gregor (7003987483); Isorna-Folgar, Manuel (57660918000); Barreiro, Carmen (57194622955); Varela Mallou, Jesús M.F. (7102462040); Golpe, Sandra (57193891833)","57478891100; 7003987483; 57660918000; 57194622955; 7102462040; 57193891833","Cannabis use among adolescents: Risk pattern, implications and possible explanatory variables; Consumo de cannabis entre adolescentes: Patrón de riesgo, implicaciones y posibles variables explicativas","2019","Adicciones","31","1","","64","77","29","10.20882/adicciones.1212","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060929713&doi=10.20882%2Fadicciones.1212&partnerID=40&md5=cced9e03799abf3ecf7dff346fa54076","Edita Socidrogalcohol C/. Rambla 15, 2a 3a Palma de Mallorca 07003","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85060929713"
"Kelly, B.C.; Vuolo, M.","Kelly, Brian C. (9735023200); Vuolo, Mike C. (16032515700)","9735023200; 16032515700","Trajectories of marijuana use and the transition to adulthood","2018","Social Science Research","73","","","175","188","14","10.1016/j.ssresearch.2018.03.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044162752&doi=10.1016%2Fj.ssresearch.2018.03.006&partnerID=40&md5=704732240dca63711e12b847229ed402","Academic Press Inc. apjcs@harcourt.com","Article","Final","","Scopus","2-s2.0-85044162752"
"Breet, E.; Bantjes, J.; Lewis, I.","Breet, Elsie (56076063300); Bantjes, Jason R. (25421214100); Lewis, Ian (57191168160)","56076063300; 25421214100; 57191168160","Chronic substance use and self-harm in a primary health care setting","2018","African Journal of Primary Health Care and Family Medicine","10","1","a1544","","","4","10.4102/phcfm.v10i1.1544","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048982423&doi=10.4102%2Fphcfm.v10i1.1544&partnerID=40&md5=a11026587a81de0a3ed2103714e9aaae","AOSIS (pty) Ltd publishing@aosis.co.za","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Final Open Access; Green Open Access","Scopus","2-s2.0-85048982423"
"Aguilar, D.D.; Giuffrida, A.; Lodge, D.J.","Aguilar, David D. (56708246000); Giuffrida, Andrea (7007058800); Lodge, Daniel James (36458914800)","56708246000; 7007058800; 36458914800","Adolescent Synthetic Cannabinoid Exposure Produces Enduring Changes in Dopamine Neuron Activity in a Rodent Model of Schizophrenia Susceptibility","2018","International Journal of Neuropsychopharmacology","21","4","","393","403","26","10.1093/ijnp/pyy003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045460993&doi=10.1093%2Fijnp%2Fpyy003&partnerID=40&md5=cf2c186cc97d07de129a52633d1d427f","Oxford University Press","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Final Open Access; Green Open Access","Scopus","2-s2.0-85045460993"
"Rusby, J.C.; Light, J.M.; Crowley, R.; Westling, E.","Rusby, Julie Collier (15726231900); Light, John M. (7102483091); Crowley, Ryann N. (35745663100); Westling, Erika H. (55430920900)","15726231900; 7102483091; 35745663100; 55430920900","Influence of parent-youth relationship, parental monitoring, and parent substance use on adolescent substance use onset","2018","Journal of Family Psychology","32","3","","310","320","189","10.1037/fam0000350","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039845433&doi=10.1037%2Ffam0000350&partnerID=40&md5=f681de509af562f89c89a208b97f4883","American Psychological Association Inc. journals@apa.org","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85039845433"
