"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Publisher","Document Type","Publication Stage","Open Access","Source","EID"
"Ahteensuu, M.","Ahteensuu, Marko (14828576000)","14828576000","Assumptions of the deficit model type of thinking: Ignorance, attitudes, and science communication in the debate on genetic engineering in agriculture","2012","Journal of Agricultural and Environmental Ethics","25","3","","295","313","67","10.1007/s10806-011-9311-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861007005&doi=10.1007%2Fs10806-011-9311-9&partnerID=40&md5=bb1fec007f4be589d58ec1b78dcd6ab0","","Article","Final","","Scopus","2-s2.0-84861007005"
"Qie, F.; Zhang, G.; Hou, J.; Sun, X.; Luo, S.-Z.; Tan, T.","Qie, Fengxiang (55146875700); Zhang, Guoxin (55738962200); Hou, Jianxuan (55040021800); Sun, Xiaoming (8832543600); Luo, Shizhong (55805836800); Tan, Tianwei (57020620400)","55146875700; 55738962200; 55040021800; 8832543600; 55805836800; 57020620400","Extracting genomic DNA of foodstuff by polyamidoamine (PAMAM)-magnetite nanoparticles","2012","Talanta","93","","","166","171","18","10.1016/j.talanta.2012.02.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862809537&doi=10.1016%2Fj.talanta.2012.02.007&partnerID=40&md5=2d70c4b50a87b18fd1132365947dc83d","Elsevier B.V.","Article","Final","","Scopus","2-s2.0-84862809537"
"Gupta, N.; Fischer, A.R.H.; Van Der Lans, I.A.; Frewer, L.J.","Gupta, Nidhi (57209931432); Fischer, Arnout R. H. (9639971000); Van Der Lans, Ivo A. (8429131900); Frewer, Lynn Jayne (7004644699)","57209931432; 9639971000; 8429131900; 7004644699","Factors influencing societal response of nanotechnology: An expert stakeholder analysis","2012","Journal of Nanoparticle Research","14","5","857","","","59","10.1007/s11051-012-0857-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860589727&doi=10.1007%2Fs11051-012-0857-x&partnerID=40&md5=93c8aa3c0703e45ed3afce19c90efc62","Kluwer Academic Publishers","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-84860589727"
"von Roten, F.C.","von Roten, Fabienne Crettaz (55664039900)","55664039900","The human-animal boundary in Switzerland: A cross-cultural perspective","2012","","","","","323","335","4","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908117220&partnerID=40&md5=66de17be5b66afaac92c45b0c5f40fec","Taylor and Francis","Book chapter","Final","","Scopus","2-s2.0-84908117220"
"Cacciatore, M.A.; Binder, A.R.; Scheufele, D.A.; Shaw, B.R.","Cacciatore, Michael A. (38060954100); Binder, Andrew R. (26533935700); Scheufele, Dietram A. (7003882091); Shaw, Bret Randall (8454892200)","38060954100; 26533935700; 7003882091; 8454892200","Public attitudes toward biofuels","2012","Politics and the Life Sciences","31","1-2","","36","51","75","10.2990/31_1-2_36","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873345515&doi=10.2990%2F31_1-2_36&partnerID=40&md5=f4b81af7fd1a0552b75cba5530c95295","","Article","Final","","Scopus","2-s2.0-84873345515"
"Qiu, H.; Huang, J.; Pray, C.; Rozelle, S.","Qiu, Huanguang (57203292124); Huang, Jikun (55544120700); Pray, Carl E. (7003291576); Rozelle, Scott D. (7005703248)","57203292124; 55544120700; 7003291576; 7005703248","Consumers' trust in government and their attitudes towards genetically modified food: empirical evidence from China","2012","Journal of Chinese Economic and Business Studies","10","1","","67","87","20","10.1080/14765284.2012.638471","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863161553&doi=10.1080%2F14765284.2012.638471&partnerID=40&md5=e773259b3224a19911c63c3925a672bc","","Article","Final","","Scopus","2-s2.0-84863161553"
"Racine, E.; DuRousseau, D.; Illes, J.","Racine, Eric (6701458932); DuRousseau, Donald R. (6507502111); Illes, Judy (7003845298)","6701458932; 6507502111; 7003845298","Ethical issues in performance-enhancing technologies: From bench to headline","2012","","","","","175","190","1","10.1201/b11861","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055599207&doi=10.1201%2Fb11861&partnerID=40&md5=4f3fb1ecff97564bccf8e137b3af5891","CRC Press","Book chapter","Final","","Scopus","2-s2.0-85055599207"
"Siegrist, M.","Siegrist, Michael (7005920737)","7005920737","Predicting the future: Review of public-perception studies of nanotechnology","2012","","","","","321","334","1","10.1201/b12005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055376452&doi=10.1201%2Fb12005&partnerID=40&md5=ba7b50fa19ff5a5cae0340c758b5fdf0","CRC Press","Book chapter","Final","","Scopus","2-s2.0-85055376452"
"Velasco, V.; Vecchio, L.","Velasco, Veronica (57217777859); Vecchio, L. Piero (23098879400)","57217777859; 23098879400","The social representation of risk: A quali-quantitative analysis of its dimensions and structure; La rappresentazione sociale del rischio: Un'analisi quali-quantitativa delle sue dimensioni e della sua struttura","2012","Psicologia della Salute","2012","2","","59","82","3","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047007737&partnerID=40&md5=0ce3f62ba3245de3df0e2c5f3042229a","Dipartimento di Architettura e Pianificazione diap@polimi.it","Article","Final","","Scopus","2-s2.0-85047007737"
"Erdoǧan, M.; Özel, M.; Boujaoude, S.; Lamanauskas, V.; U̧sak, M.; Prokop, P.","Erdoǧan, Mehmet (36008181400); Özel, Murat (26027150200); Boujaoude, Saouma B. (6507530440); Lamanauskas, Vincentas (26428845600); U̧sak, Muhammet (23010777700); Prokop, Pavol (8864179500)","36008181400; 26027150200; 6507530440; 26428845600; 23010777700; 8864179500","Assessment of preservice teachers' knowledge and attitudes regarding biotechnology: Across-cultural comparison","2012","Journal of Baltic Science Education","11","1","","78","93","7","10.33225/jbse/12.11.78","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859098664&doi=10.33225%2Fjbse%2F12.11.78&partnerID=40&md5=9845288ed6252be4c7f7b5364667a82d","Scientific Methodical Center","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-84859098664"
"Ziska, L.H.","Ziska, Lewis Hans (7004672190)","7004672190","Climate change, carbon dioxide and global crop production: Food security and uncertainty","2011","","","","","9","31","13","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84882035985&partnerID=40&md5=d2febd65abc8e2df0a14c8396ad91785","Edward Elgar Publishing Ltd.","Book chapter","Final","","Scopus","2-s2.0-84882035985"
"Erjavec, K.; Kovačič, M.P.","Erjavec, Karmen (8221262000); Kovačič, Melita Poler (24569963900)","8221262000; 24569963900","News reporting about genetically modified organisms in the context of different journalistic ideologies","2011","Medijska Istrazivanja","17","1-2","","75","95","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862991032&partnerID=40&md5=e2cb6aa9cdfb15213ddfa7cdcdb0640e","","Article","Final","","Scopus","2-s2.0-84862991032"
"Heiman, A.; Zilberman, D.","Heiman, Amir (7007018227); Zilberman, David D. (35578894000)","7007018227; 35578894000","The Effects of Framing on Consumers' Choice of GM Foods","2011","AgBioForum","14","3","","171","179","19","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861669569&partnerID=40&md5=25618a33216a5298183f93281178a7bb","","Article","Final","","Scopus","2-s2.0-84861669569"
"Areal, F.J.; Riesgo, L.; Rodríguez-Cerezo, E.","Areal, Francisco José (15130608600); Riesgo, Laura (6603209524); Rodríguez-Cerezo, Emilio (57205071503)","15130608600; 6603209524; 57205071503","Attitudes of European farmers towards GM crop adoption","2011","Plant Biotechnology Journal","9","9","","945","957","46","10.1111/j.1467-7652.2011.00651.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80955157424&doi=10.1111%2Fj.1467-7652.2011.00651.x&partnerID=40&md5=9c8935e0a37dd6bb812cd884ddd4294a","","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-80955157424"
"Gardner, G.E.; Jones, M.G.","Gardner, Grant E. (26654625200); Jones, Melissa Gail (58356530500)","26654625200; 58356530500","Science Instructors' Perceptions of the Risks of Biotechnology: Implications for Science Education","2011","Research in Science Education","41","5","","711","738","19","10.1007/s11165-010-9187-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80355140571&doi=10.1007%2Fs11165-010-9187-0&partnerID=40&md5=64b08ca832fb8afcfa72bdbba5da70aa","","Article","Final","","Scopus","2-s2.0-80355140571"
"Farshchi, P.; Sadrnezhaad, S.K.; Nejad, N.M.; Mahmoudi, M.; Ghavamabadi, L.","Farshchi, Parvin (26656689500); Sadrnezhaad, Sayed Khatiboleslam (8221994800); Nejad, Naser Moharram (55407847800); Mahmoudi, Mahmood M. (57195355975); Ghavamabadi, Leila Ibrahimi (12788795600)","26656689500; 8221994800; 55407847800; 57195355975; 12788795600","Nanotechnology in the public eye: The case of Iran, as a developing country","2011","Journal of Nanoparticle Research","13","8","","3511","3519","22","10.1007/s11051-011-0274-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80051580415&doi=10.1007%2Fs11051-011-0274-6&partnerID=40&md5=181b9ebe211b4ca791ab8a22960f6e1f","","Article","Final","","Scopus","2-s2.0-80051580415"
"Druckman, J.N.; Bolsen, T.","Druckman, James N. (6603696960); Bolsen, Toby W. (12794521600)","6603696960; 12794521600","Framing, motivated reasoning, and opinions about emergent technologies","2011","Journal of Communication","61","4","","659","688","312","10.1111/j.1460-2466.2011.01562.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79961099186&doi=10.1111%2Fj.1460-2466.2011.01562.x&partnerID=40&md5=096f1c3c9d87e8a4c26a6368f8027f32","","Article","Final","","Scopus","2-s2.0-79961099186"
"Ŝorgo, A.; Ambrožič-Dolinšek, J.; U̧sak, M.; Özel, M.","Ŝorgo, Andrej (23976935400); Ambrožič-Dolinšek, Jana (6507262138); U̧sak, Muhammet (23010777700); Özel, Murat (26027150200)","23976935400; 6507262138; 23010777700; 26027150200","Knowledge about and acceptance of genetically modified organisms among pre-service teachers: A comparative study of Turkey and Slovenia","2011","Electronic Journal of Biotechnology","14","4","","5","","12","10.2225/vol14-issue4-fulltext-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960783054&doi=10.2225%2Fvol14-issue4-fulltext-5&partnerID=40&md5=b4139a00c6e6f8dedc3e42c83aca3649","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-79960783054"
